agua_BAPD,presion_cabeza_psi,cloruros_ppm_diff,crudo_BPPD_diff,hierro_ppm,mpy
1437.15721,88.0,0.0,0.0,15.41,0.998794044
409.0273632,93.0,912.0,-0.8101535999999996,1.757563014,7.577549882
1108.000008,60.0,2034.0,-36.0326448,5.7,14.95569056
755.97588,105.0,-3404.0,-2.6558719999999987,13.7,10.08854889
639.03936,130.0,-1781.0,16.13652,2.06,1.528931141
976.58561,120.0,2571.0,-3.5462500000000006,6.3,6.848937745
401.33632,0.0,5658.0,-18.550710000000002,4.01,0.820601455
648.027045,106.0,-6460.0,10.609275,11.7,1.833481095
561.8543451,83.0,1039.0,24.242699899999998,0.203,15.21648516
829.941672,92.0,-476.0,-9.257326899999995,7.25,14.83451346
233.48358,144.0,7108.0,-11.941908000000002,13.5,1.290582289
1618.8,48.0,-3112.0,65.68358,0.85,15.33591319
1043.84864,77.0,-2680.0,-45.048640000000006,1.16,12.5371739
392.54854,80.0,2495.0,-29.299899999999997,0.71,11.18483248
1148.56,126.0,-3979.0,12.588540000000002,21.96071422,5.221319545
973.0338582,104.0,-235.0,46.0661418,1.04,9.57908154
892.717082,140.0,-433.0,-58.3432238,15.61,14.93809895
564.35927,62.0,590.0,-4.522188,28.5,5.817330158
1328.5701,88.0,153.0,59.789170000000006,15.41,7.120207445
279.18891,159.0,3294.0,-35.718810000000005,0.6,0.760638773
728.0135,135.0,-1765.0,-10.124589999999998,2.2,1.872523971
432.82704,77.0,2318.0,-12.11354,4.1,6.315049216
279.38436,145.0,-2204.0,56.042680000000004,10.52,11.444
151.3296,158.0,2496.0,-48.445240000000005,4.135,1.041435274
652.292342,80.0,1217.0,51.837258,3.11,0.704322553
724.278868,105.0,-4253.0,-47.786525999999995,0.682,15.31665235
707.7903,180.0,885.0,19.688568,2.08,1.288605704
571.9726239,81.0,281.0,1.0476761000000039,6.92,6.02769069
406.0014,150.0,-3910.0,-26.858776100000004,1.99,1.404969158
467.758125,123.0,6930.0,-11.056725,1.02,1.14684753
360.62997,94.0,-2766.0,14.328154999999999,11.74,0.523667424
62.387283,66.0,-1581.7536799999998,-14.557312999999999,4.632804197,6.817994021
322.730622,107.0,597.7536799999998,17.456660999999997,0.3,0.361339032
625.77906,126.0,1153.0,11.451562000000003,1.145018566,1.094727338
660.629194,83.0,-481.0,-23.150134,21.2,15.38720317
558.0,92.0,895.0,-8.470806,3.0,6.682928518
1014.6188,169.0,1207.0,51.3812,13.31,14.77299903
1596.625697,96.0,-3992.0,18.043103499999994,11.47,15.13029846
1061.289205,82.0,-606.0,-40.99350869999999,0.44,3.737466628
474.017992,134.0,1940.0,38.7912132,8.77,9.998798583
308.5,55.0,-856.0,-67.222008,6.8,0.337328773
324.666342,87.0,-1477.0,16.233658,10.77,7.786
1303.456,83.0,1157.0,80.31034199999999,1.24,15.74580082
385.898184,146.0,4234.0,-73.842184,8.1,1.096000277
503.2454,79.0,-3182.0,6.052783999999999,17.4,0.509958853
670.61355,0.0,-1783.0,5.131850000000004,12.0,15.34149563
